date,horaire,team_home,team_away,score,cote1,coteN,cote2
17102017,19:00,LASK Juniors,Sturm Graz (Am),4 : 1,-,-,-
20102017,19:00,A. Klagenfurt ,Gleisdorf ,3 : 3,-,-,-
20102017,19:00,Vocklamarkt,Lafnitz,0 : 0,-,-,-
20102017,19:00,Weiz,AC Wolfsberger (Am),4 : 3,-,-,-
22102017,15:55,Vorwarts Steyr,Bad Gleichenberg,2 : 1,-,-,-
22102017,16:00,Stadl Paura,Sturm Graz (Am),0 : 2,-,-,-
22102017,16:00,Union Gurten,Deutschlandsberger ,2 : 3,-,-,-
22102017,17:00,Allerheiligen,Florian,6 : 0,-,-,-
22102017,16:00,LASK Juniors,Kalsdorf,3 : 2,-,-,-
26102017,15:00,Weiz,Gleisdorf,2 : 2,-,-,-
27102017,18:55,Vorwarts Steyr,Florian,4 : 2,-,-,-
27102017,19:00,Lafnitz,Sturm Graz (Am),4 : 0,-,-,-
28102017,16:00,Stadl Paura,Deutschlandsberger,2 : 3,-,-,-
28102017,16:00,Union Gurten,Kalsdorf ,4 : 2,-,-,-
29102017,14:00,A. Klagenfurt,Vocklamarkt,0 : 0,-,-,-
29102017,16:00,LASK Juniors,Bad Gleichenberg,-,-,-,-
31102017,19:00,Allerheiligen,AC Wolfsberger (Am),4 : 0,-,-,-
31102017,19:30,LASK Juniors,Bad Gleichenberg,2 : 0,-,-,-
03112017,19:00,A. Klagenfurt,Lafnitz,2 : 2,-,-,-
03112017,19:00,AC Wolfsberger (Am),Vorwarts Steyr,0 : 3,-,-,-
03112017,19:00,Bad Gleichenberg,Union Gurten,1 : 1,-,-,-
03112017,19:00,Deutschlandsberger ,Sturm Graz (Am),2 : 0,-,-,-
03112017,19:00,Florian,LASK Juniors,0 : 0,-,-,-
03112017,19:00,Gleisdorf,Allerheiligen,2 : 2,-,-,-
03112017,19:00,Kalsdorf ,Stadl Paura,0 : 0,-,-,-
03112017,19:00,Vocklamarkt,Weiz,2 : 1,-,-,-
10112017,19:00,Allerheiligen,Vocklamarkt,5 : 0,-,-,-
10112017,19:00,Deutschlandsberger,Lafnitz,1 : 1,-,-,-
10112017,19:00,LASK Juniors,AC Wolfsberger (Am),3 : 2,-,-,-
10112017,19:00,Sturm Graz (Am),Kalsdorf,1 : 1,-,-,-
11112017,14:00,Union Gurten,Florian ,4 : 0,-,-,-
11112017,15:00,Stadl Paura,Bad Gleichenberg ,0 : 0,-,-,-
11112017,15:00,Weiz ,A. Klagenfurt,1 : 2,-,-,-
11112017,15:55,Vorwarts Steyr,Gleisdorf,2 : 2,-,-,-
