date,horaire,team_home,team_away,score,cote1,coteN,cote2
20102017,19:00,Bruck Leitha,Amstetten,2 : 1,-,-,-
20102017,19:00,First Vienne,Stadlau,3 : 1,-,-,-
20102017,19:00,Parndorf,Schwechat,1 : 0,-,-,-
20102017,19:00,Rapid Vienne (Am),Ebreichsdorf,1 : 1,-,-,-
20102017,19:30,Mannsdorf,Neusiedl,2 : 3,-,-,-
20102017,19:30,Traiskirchen ,Austria (Am),2 : 1,-,-,-
22102017,15:30,Karabakh Vienna,Wiener,3 : 2,-,-,-
22102017,15:30,Horn,Admira (Am),4 : 0,-,-,-
24102017,19:00,Austria (Am),Rapid Vienne (Am),1 : 1,-,-,-
24102017,19:30,Amstetten,Mannsdorf,1 : 3,-,-,-
24102017,19:30,Ebreichsdorf,Karabakh Vienna,2 : 0,-,-,-
25102017,19:00,Neusiedl,First Vienne,2 : 2,-,-,-
25102017,19:30,Wiener,Parndorf,2 : 1,-,-,-
26102017,15:30,St. Polten (Am),Bruck Leitha,3 : 1,-,-,-
26102017,15:30,Stadlau,Traiskirchen,1 : 1,-,-,-
26102017,19:30,Schwechat,Horn,0 : 1,-,-,-
28102017,15:00,First Vienne,Amstetten,0 : 0,-,-,-
28102017,15:30,Karabakh Vienna ,Austria (Am),1 : 3,-,-,-
29102017,14:30,Admira (Am),Schwechat,4 : 1,-,-,-
29102017,16:00,Rapid Vienne (Am),Stadlau,2 : 1,-,-,-
31102017,19:00,Parndorf,Ebreichsdorf,0 : 2,-,-,-
31102017,19:30,Mannsdorf,St. Polten (Am),3 : 2,-,-,-
31102017,19:30,Traiskirchen,Neusiedl,2 : 1,-,-,-
31102017,20:00,Horn,Wiener,3 : 0,-,-,-
04112017,14:00,St. Polten (Am),First Vienne,1 : 1,-,-,-
04112017,14:00,Stadlau ,Karabakh Vienna,2 : 3,-,-,-
03112017,19:00,Austria (Am),Parndorf,3 : 0,-,-,-
03112017,19:00,Bruck Leitha,Mannsdorf,2 : 2,-,-,-
03112017,19:00,Rapid Vienne (Am),Neusiedl,2 : 1,-,-,-
03112017,19:30,Amstetten,Traiskirchen,2 : 1,-,-,-
03112017,19:30,Ebreichsdorf,Horn,1 : 1,-,-,-
03112017,19:30,Wiener,Admira (Am),2 : 2,-,-,-
10112017,19:00,First Vienne,Bruck Leitha,2 : 2,-,-,-
10112017,19:00,Parndorf,Stadlau ,3 : 1,-,-,-
10112017,19:30,Traiskirchen,St. Polten (Am),3 : 2,-,-,-
10112017,20:00,Schwechat ,Wiener,4 : 2,-,-,-
11112017,14:00,Admira (Am),Ebreichsdorf,0 : 0,-,-,-
11112017,14:00,Karabakh Vienna,Neusiedl,1 : 1,-,-,-
12112017,14:00,Rapid Vienne (Am),Amstetten ,0 : 2,-,-,-
12112017,15:30,Horn,Austria (Am) ,5 : 1,-,-,-
12112017,14:00,Rapid Vienne (Am),Amstetten ,0 : 2,-,-,-
12112017,15:30,Horn,Austria (Am) ,5 : 1,-,-,-
17112017,19:00,First Vienne,Mannsdorf,3 : 0,-,-,-
17112017,19:00,Rapid Vienne (Am) ,St. Polten (Am),1 : 2,-,-,-
17112017,19:30,Schwechat,Ebreichsdorf,0 : 4,-,-,-
17112017,19:30,Traiskirchen,Bruck Leitha,2 : 0,-,-,-
18112017,14:00,Karabakh Vienna,Amstetten ,1 : 2,-,-,-
18112017,15:00,Parndorf,Neusiedl,1 : 2,-,-,-
19112017,14:00,Admira (Am),Austria (Am),1 : 2,-,-,-
19112017,15:30,Horn,Stadlau,1 : 0,-,-,-
