date,horaire,team_home,team_away,score,cote1,coteN,cote2
20102017,19:30,Kufstein,Wals-Grunau,2 : 4,-,-,-
22102017,15:00,Dornbirn,Johann ,2 : 0,-,-,-
22102017,15:00,Innsbruck (Am),USK Anif,0 : 7,-,-,-
22102017,15:30,Alberschwende,Saalfelden,1 : 2,-,-,-
22102017,15:30,Seekirchen,Altach (Am),3 : 2,-,-,-
22102017,16:00,Grodig ,Schwaz,1 : 1,-,-,-
22102017,16:00,Hohenems ,Kitzbuhel,2 : 1,-,-,-
22102017,13:30,SV Worgl,Hard,4 : 1,-,-,-
25102017,18:30,Innsbruck (Am),Schwaz,1 : 1,-,-,-
25102017,19:00,Johann,Wals-Grunau,0 : 4,-,-,-
25102017,19:00,Kufstein,Kitzbuhel,1 : 1,-,-,-
25102017,19:00,Seekirchen,USK Anif,0 : 4,-,-,-
25102017,19:30,Grodig,Saalfelden,4 : 0,-,-,-
25102017,19:30,SV Worgl,Dornbirn,0 : 1,-,-,-
26102017,11:00,Alberschwende,Hard,2 : 0,-,-,-
26102017,15:00,Hohenems,Altach (Am),2 : 5,-,-,-
28102017,14:00,Hard,Grodig ,1 : 1,-,-,-
28102017,14:00,Saalfelden ,Innsbruck (Am),1 : 4,-,-,-
28102017,14:00,USK Anif,Hohenems,6 : 0,-,-,-
28102017,15:00,Dornbirn,Alberschwende,3 : 0,-,-,-
29102017,14:00,Altach (Am),Kufstein,2 : 1,-,-,-
29102017,14:00,Schwaz,Seekirchen ,2 : 1,-,-,-
29102017,16:00,Kitzbuhel,Wals-Grunau,-,-,-,-
31102017,19:15,Kitzbuhel,Wals-Grunau,0 : 0,-,-,-
31102017,19:30,SV Worgl,Johann,2 : 0,-,-,-
04112017,14:00,Alberschwende,SV Worgl,1 : 1,-,-,-
04112017,14:00,Innsbruck (Am),Hard ,3 : 0,-,-,-
04112017,15:00,Hohenems,Schwaz,0 : 0,-,-,-
04112017,15:00,Wals-Grunau,Altach (Am),1 : 1,-,-,-
04112017,16:00,Grodig,Dornbirn,0 : 1,-,-,-
04112017,16:00,Kufstein,USK Anif,2 : 3,-,-,-
