date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,14:15,Brunei DPMM,Balestier Khalsa,1 : 4,1.75,3.50,4.20
19102017,13:30,Albirex Niigata,Hougang,1 : 0,-,-,-
20102017,13:30,Home Utd,Balestier Khalsa,2 : 0,-,-,-
22102017,13:30,Young Lions,Geylang,0 : 4,-,-,-
22102017,14:15,Brunei DPMM,Warriors,3 : 2,-,-,-
23102017,13:30,Home Utd,Tampines,0 : 2,-,-,-
24102017,13:30,Young Lions,Hougang,0 : 1,-,-,-
26102017,13:30,Balestier Khalsa,Albirex Niigata,0 : 3,-,-,-
27102017,13:30,Geylang,Brunei DPMM,4 : 1,-,-,-
27102017,13:30,Warriors,Home Utd,2 : 1,-,-,-
28102017,13:30,Tampines,Young Lions,3 : 0,-,-,-
