date,horaire,team_home,team_away,score,cote1,coteN,cote2
17102017,00:00,Santos,Vitoria,2 : 2,1.52,3.30,4.60
18102017,23:30,Atletico GO,Vasco,0 : 0,2.25,2.75,2.70
18102017,23:30,Coritiba,Cruzeiro,0 : 0,2.80,2.75,2.20
19102017,01:00,Atletico-MG ,Chapecoense-SC,2 : 3,1.38,3.60,5.50
19102017,01:45,Avai,Botafogo RJ,1 : 1,2.55,2.65,2.45
19102017,01:45,Corinthians,Gremio,0 : 0,1.95,2.70,3.40
19102017,01:45,Fluminense,Sao Paulo,3 : 1,2.40,2.85,2.40
20102017,00:00,Palmeiras,Ponte Preta,2 : 0,1.38,3.50,6.00
20102017,00:00,Vitoria,Atletico-PR,2 : 3,2.00,2.90,2.95
20102017,01:00,Flamengo,Bahia,4 : 1,1.38,3.50,6.00
20102017,01:00,Sport Recife,Santos,1 : 1,1.82,3.05,3.30
22102017,21:00,Vasco ,Coritiba,1 : 1,1.88,2.85,3.40
22102017,21:00,Atletico-PR,Sport Recife,2 : 1,1.75,3.00,3.60
22102017,21:00,Bahia,Vitoria,2 : 1,1.90,2.90,3.20
22102017,21:00,Cruzeiro,Atletico-MG,1 : 3,1.80,2.95,3.50
22102017,21:00,Gremio,Palmeiras,1 : 3,2.65,2.70,2.30
22102017,21:00,Santos,Atletico GO,1 : 0,1.40,3.50,5.50
22102017,21:00,Sao Paulo,Flamengo,2 : 0,2.15,2.85,2.75
22102017,23:00,Chapecoense-SC,Fluminense,2 : 0,1.82,2.95,3.40
22102017,23:00,Ponte Preta,Avai,1 : 2,1.58,3.00,4.75
