date,horaire,team_home,team_away,score,cote1,coteN,cote2
17102017,23:15,Boa,Internacional,0 : 0,-,-,-
17102017,23:15,Guarani,ABC,1 : 0,-,-,-
17102017,23:15,Londrina,Figueirense,0 : 0,-,-,-
18102017,00:30,Brasil de Pelotas,America MG,0 : 0,-,-,-
18102017,00:30,Ceara,Parana,1 : 0,-,-,-
18102017,00:30,Criciuma,Vila Nova,0 : 1,-,-,-
18102017,00:30,Santa Cruz,Oeste ,2 : 2,-,-,-
18102017,01:30,CRB,Nautico,2 : 2,-,-,-
18102017,01:30,Goias,Juventude,1 : 0,-,-,-
18102017,01:30,Luverdense,Paysandu,1 : 1,-,-,-
20102017,23:15,Guarani,Juventude,-,-,-,-
22102017,00:30,CRB,Boa,1 : 1,-,-,-
22102017,00:30,Nautico,ABC,1 : 2,-,-,-
22102017,01:30,Ceara,Figueirense,2 : 2,-,-,-
22102017,20:30,Criciuma,Internacional,2 : 3,-,-,-
22102017,21:30,Brasil de Pelotas,Santa Cruz,1 : 1,-,-,-
22102017,21:30,Londrina,Paysandu,2 : 0,-,-,-
22102017,21:30,Vila Nova,Oeste ,0 : 0,-,-,-
22102017,23:00,America MG,Parana,1 : 1,-,-,-
22102017,01:00,Luverdense,Goias ,1 : 2,-,-,-
24102017,23:15,Juventude,Nautico,0 : 0,-,-,-
25102017,01:30,Parana,Vila Nova,1 : 0,-,-,-
27102017,23:15,Figueirense,CRB,3 : 1,-,-,-
28102017,01:30,Paysandu,Criciuma,1 : 0,-,-,-
28102017,20:30,Boa,America MG,2 : 2,-,-,-
28102017,21:30,ABC,Londrina,3 : 0,-,-,-
28102017,21:30,Internacional,Ceara,0 : 1,-,-,-
28102017,21:30,Santa Cruz,Luverdense,0 : 0,-,-,-
28102017,23:00,Goias,Guarani,1 : 1,-,-,-
31102017,22:30,Goias,Criciuma,1 : 1,-,-,-
02112017,00:30,Parana,Oeste,1 : 2,-,-,-
04112017,00:30,ABC,Luverdense,0 : 1,-,-,-
04112017,00:30,Paysandu,Vila Nova,1 : 1,-,-,-
04112017,19:30,Figueirense,Brasil de Pelotas,2 : 0,-,-,-
04112017,20:30,Boa,Londrina,0 : 1,-,-,-
04112017,20:30,Guarani,America MG,0 : 1,-,-,-
04112017,20:30,Santa Cruz ,Nautico,2 : 3,-,-,-
03112017,22:15,Internacional,CRB,0 : 0,-,-,-
03112017,22:15,Juventude,Ceara,1 : 0,-,-,-
06112017,23:00,Luverdense,Internacional,2 : 2,-,-,-
06112017,23:00,Luverdense,Internacional,2 : 2,-,-,-
07112017,22:15,America MG,ABC,2 : 0,-,-,-
07112017,22:15,Criciuma,Boa,2 : 0,-,-,-
07112017,22:15,Vila Nova,Santa Cruz,1 : 1,-,-,-
07112017,23:30,Brasil de Pelotas,Parana,0 : 0,-,-,-
07112017,23:30,Londrina,Goias,0 : 0,-,-,-
07112017,23:30,Nautico,Paysandu,1 : 1,-,-,-
07112017,23:30,Oeste,Figueirense ,0 : 1,-,-,-
07112017,00:30,Ceara,Guarani,0 : 0,-,-,-
07112017,00:30,CRB,Juventude,0 : 0,-,-,-
08112017,00:30,Ceara,Guarani ,2 : 2,-,-,-
08112017,00:30,CRB,Juventude,2 : 0,-,-,-
10112017,22:15,Juventude,Oeste,0 : 0,-,-,-
