date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,20:45,Piacenza ,Viterbese ,0 : 1,2.25,3.20,3.30
22102017,20:45,Pontedera,Pistoiese,0 : 2,-,-,-
22102017,14:30,Carrarese,Arzachena,2 : 1,-,-,-
22102017,14:30,Olbia,Cuneo,4 : 1,-,-,-
22102017,16:30,Gavorrano,Lucchese,1 : 0,-,-,-
22102017,16:30,Livorno,Giana Erminio,2 : 1,-,-,-
22102017,16:30,Monza,Arezzo,0 : 3,-,-,-
22102017,16:30,Pro Piacenza,Prato,2 : 2,-,-,-
22102017,20:30,Alessandria,Pisa,0 : 2,-,-,-
22102017,20:30,Viterbese ,Siena,1 : 3,-,-,-
23102017,20:45,Pontedera,Pistoiese,2 : 2,-,-,-
27102017,20:45,Piacenza,Pisa,0 : 0,-,-,-
29102017,14:30,Pontedera,Gavorrano,2 : 1,-,-,-
29102017,16:30,Giana Erminio,Alessandria,2 : 2,-,-,-
29102017,16:30,Livorno,Pro Piacenza,3 : 0,-,-,-
29102017,16:30,Pistoiese,Prato,1 : 0,-,-,-
29102017,16:30,Siena,Monza,0 : 3,-,-,-
29102017,20:30,Arezzo,Viterbese,1 : 1,-,-,-
29102017,20:30,Arzachena,Olbia,3 : 0,-,-,-
29102017,20:30,Lucchese,Carrarese,3 : 2,-,-,-
04112017,14:30,Olbia,Giana Erminio,3 : 0,-,-,-
04112017,20:30,Siena,Livorno,1 : 2,-,-,-
05112017,14:30,Cuneo,Arzachena,0 : 1,-,-,-
05112017,16:30,Monza,Gavorrano,2 : 2,-,-,-
05112017,16:30,Pisa,Pistoiese,3 : 3,-,-,-
05112017,16:30,Prato,Piacenza ,1 : 4,-,-,-
05112017,16:30,Pro Piacenza,Pontedera,0 : 1,-,-,-
03112017,20:45,Viterbese,Lucchese,2 : 2,-,-,-
06112017,20:45,Carrarese,Alessandria,2 : 1,-,-,-
06112017,20:45,Carrarese,Alessandria,2 : 1,-,-,-
08112017,14:30,Pontedera,Cuneo,0 : 3,-,-,-
08112017,16:30,Giana Erminio,Piacenza ,4 : 3,-,-,-
08112017,16:30,Livorno,Viterbese ,3 : 0,-,-,-
08112017,16:30,Pro Piacenza,Monza,1 : 0,-,-,-
08112017,20:30,Gavorrano ,Arezzo,0 : 0,-,-,-
08112017,20:30,Lucchese,Prato,0 : 0,-,-,-
08112017,20:30,Pistoiese,Siena,1 : 2,-,-,-
