date,horaire,team_home,team_away,score,cote1,coteN,cote2
20102017,20:45,Padova,Bassano,1 : 0,-,-,-
22102017,20:30,Vicenza,Triestina,0 : 2,-,-,-
22102017,14:30,Ravenna,AlbinoLeffe,0 : 1,-,-,-
22102017,14:30,Renate,Sudtirol,0 : 0,-,-,-
22102017,16:30,FeralpiSalo,Gubbio ,2 : 1,-,-,-
22102017,18:30,Fano,Modena,-,-,-,-
22102017,18:30,Pordenone,Mestre,2 : 2,-,-,-
22102017,18:30,Reggiana,Fermana,0 : 0,-,-,-
22102017,18:30,Santarcangelo,Teramo,2 : 2,-,-,-
23102017,20:30,Vicenza,Triestina,1 : 3,-,-,-
28102017,20:30,Triestina,Santarcangelo,1 : 1,-,-,-
29102017,14:30,AlbinoLeffe,Teramo,1 : 1,-,-,-
29102017,14:30,Fermana,Pordenone ,0 : 0,-,-,-
29102017,14:30,Modena,Padova,-,-,-,-
29102017,14:30,Sudtirol,Vicenza,1 : 0,-,-,-
29102017,16:30,Gubbio,Reggiana,1 : 0,-,-,-
29102017,16:30,Mestre,Ravenna,0 : 0,-,-,-
29102017,16:30,Sambenedettese,Fano,0 : 0,-,-,-
29102017,18:30,Bassano,Renate,0 : 2,-,-,-
05112017,14:30,Fermana,AlbinoLeffe,0 : 3,-,-,-
05112017,14:30,Mestre,Bassano ,1 : 0,-,-,-
05112017,14:30,Renate,Gubbio ,2 : 1,-,-,-
05112017,14:30,Teramo,Sudtirol,0 : 0,-,-,-
05112017,14:30,Vicenza,Sambenedettese,2 : 1,-,-,-
05112017,18:30,FeralpiSalo,Padova,2 : 2,-,-,-
05112017,18:30,Pordenone ,Triestina,2 : 4,-,-,-
05112017,18:30,Santarcangelo,Modena,-,-,-,-
03112017,20:30,Reggiana,Fano,1 : 0,-,-,-
08112017,14:30,FeralpiSalo,Fermana,1 : 2,-,-,-
08112017,14:30,Modena,Bassano,-,-,-,-
08112017,14:30,Reggiana,Pordenone,1 : 0,-,-,-
08112017,14:30,Sambenedettese,Sudtirol,0 : 1,-,-,-
08112017,14:30,Triestina,Teramo,1 : 1,-,-,-
08112017,18:30,Gubbio,Ravenna,0 : 1,-,-,-
08112017,20:30,Fano,Santarcangelo,1 : 1,-,-,-
08112017,20:30,Padova,Mestre,2 : 1,-,-,-
08112017,20:45,Vicenza,Renate ,1 : 1,-,-,-
12112017,14:30,AlbinoLeffe,Fano,2 : 0,-,-,-
12112017,14:30,Bassano,FeralpiSalo,1 : 2,-,-,-
12112017,14:30,Mestre,Renate,1 : 2,-,-,-
12112017,14:30,Sudtirol,Reggiana,1 : 1,-,-,-
12112017,14:30,Triestina,Modena,-,-,-,-
12112017,18:30,Pordenone,Padova ,1 : 2,-,-,-
12112017,18:30,Ravenna,Sambenedettese,1 : 2,-,-,-
12112017,18:30,Teramo,Gubbio,1 : 2,-,-,-
12112017,20:30,Santarcangelo ,Vicenza,2 : 1,-,-,-
12112017,14:30,AlbinoLeffe,Fano,2 : 0,-,-,-
12112017,14:30,Bassano,FeralpiSalo,1 : 2,-,-,-
12112017,14:30,Mestre,Renate,1 : 2,-,-,-
12112017,14:30,Sudtirol,Reggiana,1 : 1,-,-,-
12112017,14:30,Triestina,Modena,-,-,-,-
12112017,18:30,Pordenone,Padova ,1 : 2,-,-,-
12112017,18:30,Ravenna,Sambenedettese,1 : 2,-,-,-
12112017,18:30,Teramo,Gubbio,1 : 2,-,-,-
13112017,20:30,Santarcangelo ,Vicenza ,2 : 1,-,-,-
17112017,20:45,Padova,Triestina,2 : 1,-,-,-
19112017,14:30,Fano ,Sudtirol ,0 : 1,-,-,-
19112017,14:30,Modena,Pordenone,-,-,-,-
19112017,14:30,Renate,Teramo,0 : 0,-,-,-
19112017,14:30,Sambenedettese,Bassano,0 : 0,-,-,-
19112017,14:30,Vicenza,Mestre,0 : 2,-,-,-
19112017,18:30,FeralpiSalo,AlbinoLeffe ,1 : 2,-,-,-
19112017,18:30,Gubbio,Fermana,0 : 0,-,-,-
19112017,18:30,Reggiana,Ravenna,3 : 0,-,-,-
25112017,14:30,Bassano,Reggiana ,0 : 1,-,-,-
25112017,14:30,Ravenna,Renate ,1 : 0,-,-,-
25112017,14:30,Santarcangelo,FeralpiSalo,1 : 2,-,-,-
25112017,14:30,Triestina,Gubbio,3 : 1,-,-,-
25112017,18:30,Fermana,Modena,-,-,-,-
24112017,20:30,AlbinoLeffe,Padova,1 : 2,-,-,-
