date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,13:00,Tuzlaspor,Mersin,6 : 1,-,-,-
22102017,13:30,Etimesgut,Keciorengucu,3 : 2,-,-,-
22102017,14:00,Bodrumspor,Tokatspor,2 : 1,-,-,-
22102017,14:00,Eyupspor,Kastamonuspor,3 : 4,-,-,-
22102017,14:00,Inegolspor,Sancaktepe,2 : 2,-,-,-
22102017,14:00,Kocaeli Birlikspor,Afjet Afyonspor,1 : 4,-,-,-
22102017,14:00,Menemen Belediye,Hatayspor,1 : 0,-,-,-
22102017,14:00,Sariyer,Amedspor,1 : 0,-,-,-
22102017,18:00,Bucaspor,Sivas Belediyespor,0 : 1,-,-,-
29102017,11:00,Sivas Belediyespor,Tuzlaspor,2 : 1,-,-,-
29102017,12:00,Amedspor,Inegolspor,1 : 2,-,-,-
29102017,12:30,Hatayspor,Etimesgut,3 : 0,-,-,-
29102017,12:30,Kastamonuspor,Kocaeli Birlikspor,3 : 1,-,-,-
29102017,12:30,Tokatspor,Menemen Belediye,1 : 1,-,-,-
29102017,13:00,Sancaktepe,Bucaspor ,1 : 0,-,-,-
29102017,17:00,Afjet Afyonspor,Sariyer ,2 : 1,-,-,-
29102017,17:00,Mersin,Bodrumspor,0 : 1,-,-,-
