date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,12:30,Bandirmaspor,Kahramanmaras,0 : 0,-,-,-
22102017,13:30,Bugsasspor,Gumushanespor,1 : 1,-,-,-
22102017,13:30,Hacettepe,Pendikspor,2 : 1,-,-,-
22102017,13:30,Nigde Belediyespor,Anadolu Selcukspor,1 : 0,-,-,-
22102017,14:00,Karsiyaka,Zonguldak,0 : 0,-,-,-
22102017,14:00,Kirklarelispor,Altay,5 : 3,-,-,-
22102017,14:00,Silivrispor,Sanliurfaspor,0 : 2,-,-,-
22102017,18:00,Fethiyespor,Karagumruk,2 : 1,-,-,-
22102017,18:00,Sakaryaspor,Nazillispor ,2 : 0,-,-,-
28102017,14:00,Nazillispor,Silivrispor,1 : 2,-,-,-
28102017,14:00,Pendikspor,Nigde Belediyespor,2 : 2,-,-,-
29102017,12:30,Anadolu Selcukspor,Fethiyespor ,3 : 3,-,-,-
29102017,12:30,Gumushanespor ,Hacettepe,2 : 2,-,-,-
29102017,12:30,Zonguldak ,Bugsasspor,0 : 0,-,-,-
29102017,13:00,Karagumruk,Kirklarelispor,2 : 1,-,-,-
29102017,16:00,Sanliurfaspor,Bandirmaspor,0 : 2,-,-,-
29102017,17:00,Altay,Sakaryaspor,1 : 0,-,-,-
29102017,17:00,Kahramanmaras,Karsiyaka,3 : 3,-,-,-
04112017,11:30,Bugsasspor,Kahramanmaras,1 : 0,-,-,-
04112017,11:30,Karsiyaka,Sanliurfaspor ,3 : 2,-,-,-
04112017,11:30,Pendikspor,Gumushanespor,1 : 0,-,-,-
05112017,11:30,Bandirmaspor,Nazillispor,2 : 1,-,-,-
05112017,11:30,Hacettepe,Zonguldak,0 : 0,-,-,-
05112017,11:30,Kirklarelispor,Anadolu Selcukspor ,4 : 1,-,-,-
05112017,11:30,Nigde Belediyespor,Fethiyespor,2 : 0,-,-,-
05112017,11:30,Sakaryaspor,Karagumruk,1 : 0,-,-,-
05112017,11:30,Silivrispor,Altay,1 : 1,-,-,-
11112017,11:30,Altay,Bandirmaspor ,1 : 0,-,-,-
11112017,11:30,Karagumruk,Silivrispor,1 : 1,-,-,-
12112017,11:00,Gumushanespor,Nigde Belediyespor,2 : 0,-,-,-
12112017,11:00,Kahramanmaras,Hacettepe,0 : 4,-,-,-
12112017,11:00,Sanliurfaspor,Bugsasspor ,2 : 1,-,-,-
12112017,11:30,Anadolu Selcukspor,Sakaryaspor,1 : 0,-,-,-
12112017,11:30,Fethiyespor,Kirklarelispor,1 : 2,-,-,-
12112017,11:30,Nazillispor,Karsiyaka,1 : 0,-,-,-
12112017,11:30,Zonguldak,Pendikspor,2 : 0,-,-,-
12112017,11:00,Gumushanespor,Nigde Belediyespor,2 : 0,-,-,-
12112017,11:00,Kahramanmaras,Hacettepe,0 : 4,-,-,-
12112017,11:00,Sanliurfaspor,Bugsasspor ,2 : 1,-,-,-
12112017,11:30,Anadolu Selcukspor,Sakaryaspor,1 : 0,-,-,-
12112017,11:30,Fethiyespor,Kirklarelispor,1 : 2,-,-,-
12112017,11:30,Nazillispor,Karsiyaka,1 : 0,-,-,-
12112017,11:30,Zonguldak,Pendikspor,2 : 0,-,-,-
18112017,11:00,Gumushanespor ,Zonguldak ,3 : 2,-,-,-
18112017,11:30,Hacettepe,Sanliurfaspor,1 : 0,-,-,-
18112017,11:30,Silivrispor ,Anadolu Selcukspor,1 : 2,-,-,-
19112017,11:30,Bandirmaspor,Karagumruk ,4 : 1,-,-,-
19112017,11:30,Bugsasspor,Nazillispor,2 : 0,-,-,-
19112017,11:30,Karsiyaka,Altay,1 : 2,-,-,-
19112017,11:30,Nigde Belediyespor,Kirklarelispor,1 : 0,-,-,-
19112017,11:30,Pendikspor,Kahramanmaras,3 : 0,-,-,-
19112017,11:30,Sakaryaspor,Fethiyespor,3 : 1,-,-,-
25112017,11:00,Kahramanmaras,Gumushanespor,0 : 2,-,-,-
25112017,11:00,Sanliurfaspor,Pendikspor,3 : 1,-,-,-
25112017,11:30,Altay,Bugsasspor,3 : 3,-,-,-
25112017,11:30,Anadolu Selcukspor,Bandirmaspor,4 : 2,-,-,-
25112017,11:30,Fethiyespor,Silivrispor ,3 : 0,-,-,-
25112017,11:30,Karagumruk ,Karsiyaka,3 : 5,-,-,-
25112017,11:30,Kirklarelispor,Sakaryaspor,2 : 3,-,-,-
25112017,11:30,Nazillispor,Hacettepe,0 : 5,-,-,-
25112017,11:30,Zonguldak,Nigde Belediyespor,1 : 0,-,-,-
02122017,11:00,Gumushanespor,Sanliurfaspor,1 : 0,-,-,-
02122017,11:00,Kahramanmaras ,Zonguldak ,2 : 0,-,-,-
02122017,11:30,Bandirmaspor,Fethiyespor,0 : 0,-,-,-
02122017,11:30,Hacettepe,Altay,0 : 0,-,-,-
02122017,11:30,Karsiyaka,Anadolu Selcukspor ,0 : 0,-,-,-
02122017,11:30,Sakaryaspor,Nigde Belediyespor,5 : 1,-,-,-
02122017,11:30,Silivrispor,Kirklarelispor,2 : 2,-,-,-
01122017,11:30,Bugsasspor,Karagumruk ,2 : 1,-,-,-
01122017,11:30,Pendikspor ,Nazillispor ,2 : 0,-,-,-
09122017,11:00,Sanliurfaspor,Zonguldak,2 : 1,-,-,-
09122017,11:30,Anadolu Selcukspor,Bugsasspor,0 : 5,-,-,-
09122017,11:30,Fethiyespor,Karsiyaka,0 : 0,-,-,-
09122017,11:30,Kirklarelispor,Bandirmaspor,1 : 2,-,-,-
09122017,11:30,Nazillispor,Gumushanespor,1 : 2,-,-,-
09122017,11:30,Nigde Belediyespor,Kahramanmaras ,1 : 1,-,-,-
09122017,11:30,Sakaryaspor,Silivrispor,2 : 2,-,-,-
08122017,11:30,Altay,Pendikspor,1 : 2,-,-,-
08122017,11:30,Karagumruk ,Hacettepe ,0 : 2,-,-,-
