date,horaire,team_home,team_away,score,cote1,coteN,cote2
19122017,18:00,Shapira,Hapoel Katamon ,2 : 3 (1 : 1),-,-,-
19122017,20:00,H. Tel Aviv ,FC Dimona,2 : 1,-,-,-
18122017,12:00,Beit Shean ,Hapoel Kaukab ,0 : 3,-,-,-
18122017,12:00,Hapoel Iksal Imad ,Kfar Kasem ,0 : 2,-,-,-
18122017,12:00,Hapoel Kfar Shalem,Ramat Hasharon ,1 : 3,-,-,-
18122017,18:30,Beitar Shimshon,H. Kfar Saba ,1 : 2,-,-,-
18122017,18:30,H. Petah Tikva ,MS Daburiya Osama,2 : 1,-,-,-
18122017,18:30,Hap. Ramat Gan ,Maccabi Jaffa,1 : 0,-,-,-
18122017,18:30,Hapoel Afula ,H. Nazareth,1 : 0 (0 : 0),-,-,-
18122017,18:30,Hapoel Bnei Musmus  ,H. Bnei Lod ,3 : 2 (1 : 1),-,-,-
18122017,18:30,Ironi Nesher,Hapoel Shfaram ,1 : 2,-,-,-
18122017,18:30,M. Nazareth ,Ironi Or Yehuda,3 : 0,-,-,-
18122017,18:30,Nes Tziona ,M. Herzliya,3 : 0,-,-,-
18122017,18:30,Nordia Jerusalem,Bnei HaGolan VeHaGalil ,2 : 3,-,-,-
