date,horaire,team_home,team_away,score,cote1,coteN,cote2
17112017,13:45,Al Nahda,Al Nasr ,1 : 2 (1 : 1),-,-,-
17112017,13:45,Al Oruba,Nizwa ,1 : 2 (1 : 1),-,-,-
17112017,13:45,Al-Rustaq ,Al Ettifaq,2 : 1,-,-,-
17112017,13:45,Al-Salam,Sur Club ,0 : 1,-,-,-
17112017,13:45,Al-Smail ,Al-Msnaa,1 : 0,-,-,-
17112017,17:30,Al-Shabab ,Majees SC,2 : 0,-,-,-
17112017,17:30,Busher,Al-Ahli/Sedab  ,1 : 2,-,-,-
17112017,17:30,Sohar ,Bahla ,3 : 0,-,-,-
19112017,13:45,Al Bdea ,Al-Ittihad,3 : 1,-,-,-
19112017,13:45,Al-Bashaeer ,Muscat,3 : 0,-,-,-
19112017,13:45,Saham ,Dhofar,2 : 1 (1 : 1),-,-,-
19112017,13:45,Seeb ,Salalah SC ,2 : 0,-,-,-
19112017,14:10,Mirbat,Oman FC ,1 : 2 (1 : 1),-,-,-
19112017,17:30,Al Suwaiq ,Quriyat,4 : 0,-,-,-
19112017,17:30,Al-Midhaibi ,Fanja SC,2 : 1,-,-,-
19112017,17:30,Jaalan,Al Wasta ,0 : 3,-,-,-
