date,horaire,team_home,team_away,score,cote1,coteN,cote2
20102017,18:00,Vojvodina,Radnicki Nis,1 : 1,1.70,2.95,4.00
22102017,15:00,Sabac,Borac,1 : 0,1.70,2.95,4.00
22102017,15:00,Sp. Subotica,Cukaricki,0 : 0,2.40,2.80,2.45
22102017,17:00,FK Vozdovac,Rad,3 : 0,1.28,3.80,7.50
22102017,17:00,Javor,Radnik,1 : 0,1.35,3.80,5.50
22102017,17:00,Napredak,Zemun,2 : 1,1.27,3.60,8.50
22102017,15:00,Partizan,Backa,3 : 1,1.08,6.00,11.50
22102017,19:00,Crvena zvezda,Mladost ,2 : 1,1.08,6.00,11.00
25102017,15:00,Zemun,Partizan,1 : 3,8.50,4.00,1.23
25102017,18:00,Crvena zvezda,Sp. Subotica,1 : 0,1.20,4.60,7.75
28102017,19:00,Rad,Vojvodina,0 : 3,3.20,2.85,1.95
29102017,13:00,Backa,Javor ,2 : 1,1.50,3.05,5.50
29102017,13:00,Zemun,Crvena zvezda,0 : 1,10.50,4.70,1.15
29102017,17:00,Borac,Partizan,1 : 2,8.25,4.10,1.23
29102017,17:00,Cukaricki,FK Vozdovac,2 : 1,2.10,2.80,2.90
29102017,17:00,Mladost,Sabac,2 : 0,1.62,3.10,4.20
29102017,17:00,Radnicki Nis,Napredak,1 : 3,1.78,2.95,3.60
29102017,17:00,Radnik,Sp. Subotica,5 : 1,2.30,2.75,2.65
04112017,13:00,Backa,Sp. Subotica,0 : 2,1.62,3.05,4.25
04112017,13:00,Borac,Javor,2 : 1,1.75,2.75,4.10
04112017,17:00,Radnik,FK Vozdovac,1 : 0,2.80,2.70,2.20
04112017,19:00,Rad,Napredak,1 : 0,2.80,2.80,2.15
05112017,13:00,Macva,Partizan,1 : 3,8.25,4.20,1.22
05112017,13:00,Zemun,Mladost,0 : 0,2.20,2.65,2.85
05112017,17:00,Radnicki Nis,Crvena zvezda,0 : 4,10.50,4.60,1.15
03112017,17:00,Cukaricki,Vojvodina ,2 : 1,1.78,2.95,3.60
