date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,19:00,Helsingborg,Värnamo,1 : 2,1.67,3.75,5.00
16102017,19:00,Orgryte,Gefle,1 : 1,2.70,3.50,2.55
17102017,19:00,Syrianska,Brommapojkarna,0 : 2,-,-,-
22102017,14:00,GAIS,Norrby,2 : 1,-,-,-
22102017,14:00,Gefle,IK Frej,3 : 0,-,-,-
22102017,16:00,Degerfors,Helsingborg,1 : 1,-,-,-
22102017,16:00,Varbergs,Orgryte,0 : 0,-,-,-
22102017,19:00,Värnamo,Syrianska,6 : 1,-,-,-
22102017,15:00,Trelleborgs,Atvidabergs,4 : 0,-,-,-
22102017,17:30,Östers,Falkenbergs,1 : 1,-,-,-
23102017,19:00,Värnamo,Syrianska,6 : 1,-,-,-
24102017,19:00,Brommapojkarna,Dalkurd,1 : 0,-,-,-
27102017,19:00,IK Frej,Trelleborgs,2 : 2,-,-,-
28102017,14:00,Dalkurd,GAIS,1 : 0,-,-,-
28102017,16:00,Varbergs,Atvidabergs,3 : 0,-,-,-
