date,horaire,team_home,team_away,score,cote1,coteN,cote2
18102017,18:30,Ind. del Valle,Delfin,2 : 2,-,-,-
19102017,01:00,Guayaquil City,U. Catolica,2 : 1,-,-,-
19102017,02:15,LDU Quito,Fuerza A.,3 : 1,-,-,-
19102017,02:30,Barcelone SC ,El Nacional,1 : 2,-,-,-
19102017,03:15,Dep. Cuenca,Clan Juvenil ,3 : 0,-,-,-
22102017,18:30,Ind. del Valle,Fuerza A.,6 : 0,-,-,-
22102017,18:30,LDU Quito,Delfin,5 : 2,-,-,-
22102017,19:00,El Nacional,Barcelone SC,3 : 3,-,-,-
22102017,20:45,Dep. Cuenca ,Macara,0 : 1,-,-,-
22102017,23:00,Emelec,U. Catolica,2 : 0,-,-,-
22102017,23:00,Guayaquil City,Clan Juvenil,0 : 0,-,-,-
28102017,22:30,Fuerza A.,Dep. Cuenca,2 : 0,-,-,-
28102017,23:00,Ind. del Valle,El Nacional,2 : 2,-,-,-
28102017,23:30,Barcelone SC,LDU Quito,2 : 0,-,-,-
29102017,18:00,Delfin,Guayaquil City,2 : 0,-,-,-
29102017,18:00,Macara,Emelec,1 : 0,-,-,-
29102017,18:00,U. Catolica,Clan Juvenil,2 : 0,-,-,-
04112017,02:00,Dep. Cuenca,Ind. del Valle,1 : 0,-,-,-
04112017,02:00,Emelec,Delfin,0 : 0,-,-,-
04112017,18:00,U. Catolica,Fuerza A. ,2 : 0,-,-,-
05112017,00:00,Guayaquil City,Barcelone SC,1 : 2,-,-,-
05112017,00:30,LDU Quito,El Nacional,0 : 3,-,-,-
