date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,20:45,Hellas Vérone,Benevento ,1 : 0,1.83,3.60,4.50
22102017,18:00,Sampdoria,Crotone,5 : 0,1.50,3.80,6.00
22102017,20:45,Naples,Inter,0 : 0,1.42,4.25,6.25
22102017,12:30,Chievo,Hellas Vérone ,3 : 2,1.95,3.10,3.70
22102017,15:00,AC Milan ,Genoa,0 : 0,1.55,3.75,5.25
22102017,15:00,Atalanta,Bologne ,1 : 0,1.55,3.60,5.75
22102017,15:00,Benevento,Fiorentina,0 : 3,5.75,4.10,1.48
22102017,15:00,Spal,Sassuolo ,0 : 1,2.75,3.15,2.40
22102017,15:00,Torino,AS Rome,0 : 1,3.40,3.60,1.90
22102017,18:00,Udinese,Juventus ,2 : 6,8.25,4.30,1.35
22102017,20:45,Lazio,Cagliari,3 : 0,1.20,5.75,10.50
24102017,20:45,Inter,Sampdoria,3 : 2,1.40,4.30,6.75
25102017,18:30,Atalanta,Hellas Vérone,3 : 0,1.27,4.90,9.50
25102017,20:45,AS Rome,Crotone,1 : 0,1.14,6.75,13.00
25102017,20:45,Bologne,Lazio,1 : 2,4.50,3.50,1.68
25102017,20:45,Cagliari,Benevento,2 : 1,1.60,3.70,4.90
25102017,20:45,Chievo,AC Milan,1 : 4,3.20,3.15,2.15
25102017,20:45,Fiorentina,Torino ,3 : 0,1.68,3.75,4.20
25102017,20:45,Genoa,Naples,2 : 3,7.50,4.40,1.35
25102017,20:45,Juventus,Spal,4 : 1,1.10,7.50,17.00
25102017,20:45,Sassuolo,Udinese,0 : 1,1.88,3.30,3.80
28102017,18:00,AC Milan,Juventus,0 : 2,3.90,3.30,1.85
28102017,20:45,AS Rome,Bologne,1 : 0,1.28,4.90,8.75
29102017,12:30,Benevento,Lazio,1 : 5,9.00,5.25,1.25
29102017,15:00,Crotone,Fiorentina,2 : 1,5.00,3.60,1.60
29102017,15:00,Naples,Sassuolo,3 : 1,1.12,7.50,14.00
29102017,15:00,Sampdoria,Chievo,4 : 1,2.05,3.25,3.30
29102017,15:00,Spal,Genoa,1 : 0,2.85,3.00,2.40
29102017,15:00,Udinese,Atalanta,2 : 1,3.50,3.30,1.95
29102017,20:45,Torino,Cagliari,2 : 1,1.50,4.10,5.25
