date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,20:30,Entella,Empoli,2 : 3,3.60,3.20,2.10
20102017,19:00,Cremonese,Brescia,2 : 0,2.15,2.70,3.00
20102017,21:00,Bari,Cittadella,4 : 2,2.05,2.80,3.10
22102017,15:00,Cesena,Foggia,3 : 3,2.20,2.95,2.65
22102017,15:00,Palerme,Novara,0 : 2,1.68,2.95,4.30
22102017,15:00,Parma,Entella,3 : 1,1.62,3.00,4.60
22102017,15:00,Pescara,Avellino,2 : 1,1.60,3.50,3.90
22102017,15:00,Pro Vercelli,Carpi,0 : 0,2.25,2.65,2.85
22102017,15:00,Salernitana,Frosinone ,1 : 1,2.55,2.80,2.40
22102017,15:00,Spezia,Perugia,4 : 2,2.45,2.65,2.60
22102017,15:00,Ternana,Ascoli,1 : 1,1.90,3.00,3.20
22102017,15:00,Venezia,Empoli,1 : 0,2.65,2.75,2.35
23102017,20:30,Brescia,Bari,2 : 1,2.50,2.70,2.50
