date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,17:00,Manisaspor ,Denizlispor,1 : 1,2.40,3.50,2.88
20102017,17:00,Adanaspor,Ankaragucu,0 : 0,-,-,-
22102017,12:00,Denizlispor,Adana Demirspor,1 : 0,-,-,-
22102017,12:00,Istanbulspor,Altinordu,2 : 0,-,-,-
22102017,18:30,Gaziantepspor,Rizespor ,0 : 0,-,-,-
22102017,12:00,Giresunspor,Manisaspor,0 : 1,-,-,-
22102017,12:00,Umraniyespor,Gaziantep,0 : 0,-,-,-
22102017,14:30,Elazigspor,Samsunspor,2 : 2,-,-,-
22102017,14:30,Eskisehirspor,Erzurum BB,3 : 1,-,-,-
22102017,17:00,Boluspor,Balikesirspor,2 : 4,-,-,-
27102017,17:00,Samsunspor,Gaziantepspor,3 : 0,-,-,-
28102017,12:00,Balikesirspor,Adanaspor,4 : 1,-,-,-
28102017,18:30,Altinordu,Eskisehirspor,0 : 0,-,-,-
29102017,11:00,Erzurum BB,Denizlispor,4 : 1,-,-,-
29102017,11:00,Gaziantep,Elazigspor ,1 : 0,-,-,-
29102017,13:30,Adana Demirspor,Giresunspor,1 : 2,-,-,-
29102017,13:30,Manisaspor,Umraniyespor,0 : 2,-,-,-
30102017,16:00,Ankaragucu,Istanbulspor,1�:�0,1.75,3.50,4.75
30102017,16:00,Rizespor,Boluspor,1�:�0,2.00,3.70,3.39
04112017,11:00,Elazigspor ,Gaziantepspor,2 : 0,-,-,-
04112017,11:00,Umraniyespor,Adana Demirspor,1 : 0,-,-,-
04112017,13:30,Denizlispor ,Altinordu,2 : 0,-,-,-
04112017,13:30,Giresunspor,Erzurum BB,2 : 0,-,-,-
05112017,11:00,Boluspor,Samsunspor,1 : 0,-,-,-
05112017,11:00,Istanbulspor,Balikesirspor,4 : 1,-,-,-
05112017,13:30,Eskisehirspor,Ankaragucu,1 : 3,-,-,-
05112017,16:00,Adanaspor,Rizespor,3 : 2,-,-,-
