date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,13:00,12 Bingol,Orhangazispor,2 : 1,-,-,-
22102017,13:00,Bayburt,Bergama Bld.,1 : 0,-,-,-
22102017,13:00,Ofspor ,Batman Petrolspor,1 : 2,-,-,-
22102017,13:30,Duzcespor,Yomraspor,1 : 0,-,-,-
22102017,13:30,Erzin,Kemerspor 2003,1 : 2,-,-,-
22102017,14:00,Halide E.,Kozan,2 : 1,-,-,-
22102017,18:00,Dardanelspor ,Bayrampasa,0 : 2,-,-,-
22102017,12:30,Erbaaspor,Manisa,0 : 1,-,-,-
22102017,13:30,Altindag Bld.,Catalca,0 : 0,-,-,-
28102017,13:00,Yomraspor,Dardanelspor,3 : 2,-,-,-
28102017,14:00,Manisa,Halide E.,3 : 2,-,-,-
28102017,14:00,Orhangazispor,Erzin,0 : 0,-,-,-
29102017,12:00,Batman Petrolspor,Erbaaspor,2 : 2,-,-,-
29102017,12:30,Kozan,Bayburt,0 : 2,-,-,-
29102017,13:00,Bayrampasa,Altindag Bld.,0 : 1,-,-,-
29102017,13:00,Bergama Bld.,12 Bingol,2 : 0,-,-,-
29102017,13:00,Catalca ,Ofspor,0 : 3,-,-,-
29102017,13:00,Kemerspor 2003,Duzcespor,0 : 2,-,-,-
04112017,11:30,Altindag Bld.,Yomraspor,3 : 0,-,-,-
05112017,11:00,12 Bingol,Erzin,1 : 1,-,-,-
05112017,11:00,Bayburt,Manisa,1 : 3,-,-,-
05112017,11:00,Ofspor,Bayrampasa,3 : 0,-,-,-
05112017,11:30,Bergama Bld.,Kozan,1 : 1,-,-,-
05112017,11:30,Dardanelspor,Kemerspor 2003,0 : 0,-,-,-
05112017,11:30,Duzcespor ,Orhangazispor,3 : 1,-,-,-
05112017,11:30,Erbaaspor,Catalca,2 : 0,-,-,-
05112017,11:30,Halide E.,Batman Petrolspor,1 : 1,-,-,-
