date,horaire,team_home,team_away,score,cote1,coteN,cote2
27102017,20:00,Maritzburg Utd,Platinum Stars ,0 : 1 (0 : 0),-,-,-
28102017,15:30,Golden Arrows,Orlando ,0 : 1,-,-,-
28102017,15:30,Polokwane ,Ajax Cape Town,1 : 0 (0 : 0),-,-,-
28102017,18:00,Bloem Celtic  ,Supersport,3 : 2 (2 : 2),-,-,-
28102017,20:15,Bidvest Wits ,Free State Stars,4 : 2 (2 : 2),-,-,-
28102017,20:15,Kaizer ,Amazulu,3 : 0,-,-,-
29102017,14:30,Baroka ,Cape Town City,1 : 0,-,-,-
29102017,14:30,Chippa United ,Mamelodi,1 : 0,-,-,-
04112017,14:30,Platinum Stars,Bloem Celtic ,1 : 2,-,-,-
04112017,19:15,Bidvest Wits ,Baroka,1 : 0,-,-,-
04112017,19:15,Orlando,Polokwane ,2 : 3 (2 : 2),-,-,-
05112017,14:30,Chippa United,Kaizer ,0 : 1,-,-,-
18112017,14:30,Bidvest Wits ,Kaizer ,1 : 0,-,-,-
19112017,14:30,Polokwane,Bloem Celtic ,1 : 2 (0 : 0),-,-,-
