date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,12:45,Port MTI FC,Muangthong,1 : 1,-,-,-
22102017,12:45,Thai Navy,Sisaket,1 : 0,-,-,-
22102017,13:00,Chonburi,Bangkok Glass,1 : 1,-,-,-
22102017,13:00,Pattaya,Chiangrai,2 : 2,-,-,-
22102017,14:00,Bangkok Utd,Ratchaburi,2 : 1,-,-,-
22102017,14:00,Suphanburi ,Buriram,0 : 1,-,-,-
22102017,14:00,Tero Sasana ,Sukhothai,1 : 1,-,-,-
22102017,15:00,Nakhon Ratchasima,Ubon,2 : 1,-,-,-
22102017,15:00,Thai Honda FC,Super Power FC ,2 : 2,-,-,-
08112017,11:45,Bangkok Glass,Pattaya,2 : 5,-,-,-
08112017,11:45,Super Power FC,Port MTI FC,1 : 3,-,-,-
08112017,12:00,Chiangrai,Nakhon Ratchasima,1 : 0,-,-,-
08112017,12:00,Ratchaburi,Thai Navy,2 : 1,-,-,-
08112017,12:00,Suphanburi,Bangkok Utd,1 : 1,-,-,-
08112017,13:00,Buriram,Tero Sasana,4 : 0,-,-,-
08112017,13:00,Sisaket,Thai Honda FC ,2 : 5,-,-,-
08112017,14:00,Sukhothai,Chonburi,3 : 1,-,-,-
08112017,14:00,Ubon,Muangthong,2 : 1,-,-,-
11112017,12:00,Pattaya,Sukhothai,1 : 1,-,-,-
11112017,12:00,Port MTI FC,Sisaket,5 : 3,-,-,-
11112017,12:00,Thai Honda FC ,Ratchaburi,1 : 2,-,-,-
11112017,12:00,Thai Navy,Suphanburi,0 : 1,-,-,-
11112017,12:00,Ubon,Super Power FC,2 : 1,-,-,-
12112017,12:00,Bangkok Utd,Buriram,1 : 3,-,-,-
12112017,12:00,Chiangrai,Muangthong,0 : 1,-,-,-
12112017,12:00,Chonburi,Tero Sasana,5 : 1,-,-,-
12112017,12:00,Nakhon Ratchasima,Bangkok Glass,2 : 1,-,-,-
12112017,12:00,Bangkok Utd,Buriram,1 : 3,-,-,-
12112017,12:00,Chiangrai,Muangthong,0 : 1,-,-,-
12112017,12:00,Chonburi,Tero Sasana,5 : 1,-,-,-
12112017,12:00,Nakhon Ratchasima,Bangkok Glass,2 : 1,-,-,-
15112017,13:00,Muangthong,Thai Honda FC,0 : 1,-,-,-
15112017,13:00,Tero Sasana,Chiangrai,3 : 1,-,-,-
