date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,16:00,Sturm Graz,Mattersburg,3 : 2,1.52,3.25,4.25
22102017,18:30,Altach,AC Wolfsberger,3 : 2,1.75,2.95,3.50
22102017,18:30,St. Polten,LASK Linz,0 : 1,2.85,2.85,2.00
22102017,14:00,Admira,Red Bull Salzbourg,1 : 1,5.50,3.80,1.32
22102017,16:30,Austria Vienne,Rapid Vienne ,0 : 1,3.30,3.25,1.70
28102017,16:00,Rapid Vienne,Admira,1 : 0,1.45,3.50,4.50
28102017,18:30,LASK Linz,Austria Vienne,2 : 2,1.80,3.10,3.10
28102017,18:30,Mattersburg,St. Polten,1 : 1,1.75,3.00,3.40
28102017,18:30,Red Bull Salzbourg,Altach,2 : 0,1.17,4.50,8.25
29102017,16:30,AC Wolfsberger,Sturm Graz,0 : 2,3.70,3.00,1.68
04112017,16:00,Sturm Graz,Rapid Vienne,0 : 0,2.30,2.85,2.40
04112017,18:30,Admira,AC Wolfsberger,0 : 0,1.75,3.10,3.25
04112017,18:30,Altach,LASK Linz,2 : 4,2.25,2.80,2.50
05112017,14:00,Austria Vienne,Mattersburg,1 : 3,1.85,3.10,3.00
05112017,16:30,St. Polten,Red Bull Salzbourg,1 : 3,6.75,4.00,1.25
18112017,16:00,LASK Linz,Rapid Vienne,1 : 2,2.50,2.80,2.25
18112017,18:30,Austria Vienne,Admira,2 : 3,1.90,3.15,2.80
18112017,18:30,Mattersburg,Altach,1 : 0,2.05,2.80,2.85
18112017,18:30,St. Polten,AC Wolfsberger,0 : 0,2.45,2.75,2.35
19112017,16:30,Red Bull Salzbourg,Sturm Graz ,5 : 0,1.45,3.30,4.90
25112017,14:00,AC Wolfsberger,Austria Vienne ,1 : 2,2.15,2.95,2.50
25112017,16:30,Rapid Vienne,Red Bull Salzbourg,2 : 3,2.45,2.80,2.30
24112017,16:00,Sturm Graz,LASK Linz,1 : 0,1.82,2.90,3.25
24112017,18:30,Admira,Mattersburg,2 : 0,2.15,2.95,2.55
24112017,18:30,Altach,St. Polten ,3 : 0,1.62,3.10,3.90
27112017,19:00,Sturm Graz,Admira,6 : 1,1.50,3.30,4.40
28112017,18:30,LASK Linz,AC Wolfsberger,2 : 0,1.55,3.10,4.25
28112017,18:30,Red Bull Salzbourg,Mattersburg,2 : 0,1.16,4.60,8.25
28112017,18:30,St. Polten,Austria Vienne,1 : 0,2.70,2.95,2.05
28112017,20:30,Rapid Vienne ,Altach,1 : 2,1.38,3.50,5.25
