date,horaire,team_home,team_away,score,cote1,coteN,cote2
28102017,13:00,Arna-Bjørnar F,Sandviken F,2 : 0,-,-,-
28102017,13:00,Grand Bodo F,Vålerenga F,2 : 3,-,-,-
28102017,13:00,LSK Kvinner F,Stabaek F,3 : 2,-,-,-
28102017,13:00,Medkila F,Kolbotn F,1 : 3,-,-,-
28102017,13:00,RØA F ,Klepp F,0 : 1,-,-,-
28102017,13:00,Trondheims-Orn F,Avaldsnes F,1 : 3,-,-,-
04112017,14:00,Avaldsnes F,Medkila F,5 : 0,-,-,-
04112017,14:00,Klepp F,Arna-Bjørnar F,0 : 0,-,-,-
04112017,14:00,Kolbotn F,Grand Bodo F,2 : 0,-,-,-
04112017,14:00,Sandviken F,RØA F,0 : 2,-,-,-
04112017,14:00,Stabaek F,Trondheims-Orn F,5 : 2,-,-,-
04112017,14:00,Vålerenga F,LSK Kvinner F,2 : 5,-,-,-
