date,horaire,team_home,team_away,score,cote1,coteN,cote2
04112017,22:00,Orsomarso,Leones,1 : 0,-,-,-
04112017,23:30,Real Cartagena,Pereira,3 : 0,-,-,-
05112017,21:30,Llaneros,Quindio,5 : 0,-,-,-
06112017,21:15,Cucuta,Barranquilla,3 : 0,-,-,-
06112017,21:15,Cucuta,Barranquilla,3 : 0,-,-,-
11112017,21:00,Quindio ,Llaneros ,1 : 3,-,-,-
11112017,21:30,Leones ,Orsomarso,2 : 0 (1 : 0),-,-,-
11112017,23:00,Pereira,Real Cartagena ,1 : 1,-,-,-
12112017,21:00,Barranquilla,Cucuta  ,2 : 1,-,-,-
12112017,21:00,Barranquilla,Cucuta  ,2 : 1,-,-,-
17112017,00:00,Real Cartagena ,Llaneros,2 : 1,-,-,-
17112017,02:00,Cucuta ,Leones,2 : 2,-,-,-
19112017,21:15,Llaneros ,Real Cartagena,2 : 0,-,-,-
19112017,23:30,Leones ,Cucuta ,2 : 1,-,-,-
23112017,21:15,Llaneros ,Leones,1 : 4,-,-,-
