date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,01:00,Real Santander,Fortaleza,-,-,-,-
16102017,03:00,Atletico F.C.,Barranquilla,-,-,-,-
17102017,00:30,Pereira,Chico,-,-,-,-
18102017,22:00,Barranquilla,Orsomarso,2 : 0,-,-,-
19102017,02:30,Valledupar,Popayan,1 : 1,-,-,-
22102017,01:00,Real Santander,Fortaleza,1 : 1,-,-,-
22102017,22:00,Atletico F.C.,Barranquilla,0 : 0,-,-,-
22102017,22:30,Cucuta,Leones ,3 : 2,-,-,-
23102017,01:00,Real Santander,Fortaleza,1 : 1,-,-,-
24102017,02:45,Pereira,Chico,1 : 0,-,-,-
26102017,18:00,Popayan,Real Cartagena,3 : 1,-,-,-
29102017,21:00,Barranquilla,Pereira,2 : 0,-,-,-
29102017,21:00,Chico,Real Santander,3 : 2,-,-,-
29102017,21:00,Fortaleza,Cucuta ,1 : 0,-,-,-
29102017,21:00,Leones,Bogota,0 : 0,-,-,-
29102017,21:00,Llaneros,Atletico F.C. ,4 : 0,-,-,-
29102017,21:00,Orsomarso,Real Cartagena,3 : 1,-,-,-
29102017,21:00,Quindio,Valledupar,6 : 1,-,-,-
29102017,21:00,U. Magdalena,Popayan,3 : 1,-,-,-
