date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,15:00,HFC,GVVV,0 : 2,-,-,-
22102017,15:30,De Treffers,Lienden,2 : 2,-,-,-
22102017,15:30,Excelsior Maassluis,De Dijk ,2 : 1,-,-,-
22102017,15:30,HHC,Rijnsburgse,2 : 3,-,-,-
22102017,15:30,IJsselmeervogels,AFC,0 : 1,-,-,-
22102017,15:30,Jong Sparta Rotterdam,Kozakken Boys,2 : 3,-,-,-
22102017,15:30,Katwijk,Barendrecht,2 : 1,-,-,-
22102017,18:00,TEC ,Lisse,0 : 2,-,-,-
22102017,18:00,VVSB,Achilles 29,3 : 2,-,-,-
28102017,15:30,Barendrecht,HHC,0 : 0,-,-,-
28102017,15:30,Excelsior Maassluis,Katwijk,3 : 0,-,-,-
28102017,15:30,GVVV,IJsselmeervogels,3 : 1,-,-,-
28102017,15:30,HFC,VVSB,3 : 0,-,-,-
28102017,15:30,Jong Sparta Rotterdam,De Treffers,5 : 1,-,-,-
28102017,15:30,Kozakken Boys,Rijnsburgse,1 : 2,-,-,-
28102017,18:00,Achilles 29 ,Lisse ,2 : 1,-,-,-
29102017,14:00,De Dijk,TEC,2 : 4,-,-,-
29102017,14:30,AFC,Lienden,0 : 1,-,-,-
04112017,14:30,AFC,Katwijk,2 : 3,-,-,-
04112017,15:00,Kozakken Boys,TEC,3 : 1,-,-,-
04112017,15:30,Achilles 29 ,De Treffers,2 : 1,-,-,-
04112017,15:30,Barendrecht,Excelsior Maassluis,2 : 1,-,-,-
04112017,15:30,HHC,Jong Sparta Rotterdam ,4 : 2,-,-,-
04112017,15:30,IJsselmeervogels,HFC,0 : 1,-,-,-
04112017,15:30,Lisse,GVVV,2 : 0,-,-,-
04112017,15:30,Rijnsburgse ,De Dijk,2 : 4,-,-,-
05112017,14:30,Lienden,VVSB,4 : 0,-,-,-
11112017,15:30,Lisse,Katwijk,1 : 2,-,-,-
11112017,15:30,Rijnsburgse,AFC,1 : 0,-,-,-
18112017,14:00,HFC,Achilles 29,2 : 3,-,-,-
18112017,15:30,Excelsior Maassluis,HHC,4 : 1,-,-,-
18112017,15:30,GVVV,Barendrecht,2 : 3,-,-,-
18112017,15:30,Katwijk,IJsselmeervogels,1 : 0,-,-,-
18112017,15:30,Lisse,Kozakken Boys,1 : 0,-,-,-
18112017,18:00,De Treffers,Rijnsburgse,1 : 3,-,-,-
18112017,18:00,VVSB,Jong Sparta Rotterdam,0 : 2,-,-,-
19112017,14:00,De Dijk,AFC,1 : 2,-,-,-
19112017,14:30,TEC,Lienden,3 : 1,-,-,-
25112017,14:00,AFC ,HFC,2 : 2,-,-,-
25112017,14:30,De Treffers ,VVSB ,0 : 1,-,-,-
24112017,14:30,Barendrecht,Lisse ,3 : 0,-,-,-
24112017,15:00,Kozakken Boys,Achilles 29,5 : 2,-,-,-
24112017,15:30,HHC,De Dijk,3 : 1,-,-,-
24112017,15:30,IJsselmeervogels,TEC,5 : 0,-,-,-
24112017,15:30,Jong Sparta Rotterdam,Katwijk,3 : 2,-,-,-
24112017,15:30,Lienden,GVVV,0 : 3,-,-,-
24112017,15:30,Rijnsburgse Boys,Excelsior Maassluis,2 : 1,-,-,-
01122017,14:00,HFC,Kozakken Boys,1 : 2,-,-,-
01122017,15:30,De Dijk,IJsselmeervogels,2 : 6,-,-,-
01122017,15:30,Excelsior Maassluis,Lienden,3 : 0,-,-,-
01122017,15:30,GVVV,Jong Sparta Rotterdam,2 : 2,-,-,-
01122017,15:30,Katwijk,De Treffers ,0 : 1,-,-,-
01122017,15:30,Lisse,AFC,2 : 0,-,-,-
01122017,18:00,Achilles 29,Barendrecht,1 : 2,-,-,-
01122017,18:00,TEC,Rijnsburgse Boys,1 : 3,-,-,-
01122017,18:00,VVSB,HHC,4 : 2,-,-,-
09122017,14:30,De Treffers,HFC,-,2.00,4.00,2.75
09122017,14:30,Lienden,De Dijk,-,1.72,4.00,3.50
08122017,14:00,AFC,GVVV,0 : 4,4.00,4.20,1.60
08122017,15:00,Kozakken Boys,Barendrecht,3 : 0,1.85,4.00,3.10
08122017,15:30,HHC,Achilles 29,-,1.85,4.20,3.00
08122017,15:30,IJsselmeervogels,Excelsior Maassluis,-,-,-,-
08122017,15:30,Jong Sparta Rotterdam,TEC,2 : 1,1.85,4.00,3.10
08122017,15:30,Rijnsburgse Boys,Lisse ,2 : 1,1.80,4.00,3.25
08122017,18:00,VVSB,Katwijk,0 : 2,3.20,3.89,1.90
