date,horaire,team_home,team_away,score,cote1,coteN,cote2
19102017,15:00,Dibba Al Fujairah,Al Dhafra,1 : 1,-,-,-
19102017,18:00,Al-Wahda,Hatta,3 : 1,-,-,-
20102017,15:00,Al Nasr,Ajman,0 : 1,-,-,-
20102017,18:00,Al-Jazira,Al Wasl,0 : 0,-,-,-
22102017,15:00,Emirates Club,Al-Ain,0 : 2,-,-,-
22102017,18:00,Al Sharjah,Al-Ahli Dubai,0 : 0,-,-,-
26102017,14:55,Hatta,Al-Jazira,2 : 3,-,-,-
26102017,17:45,Al Wasl,Dibba Al Fujairah,3 : 2,-,-,-
27102017,15:05,Al Dhafra ,Al Nasr,1 : 2,-,-,-
27102017,17:45,Al-Ahli Dubai,Al-Wahda,0 : 0,-,-,-
28102017,14:55,Ajman,Emirates Club,3 : 2,-,-,-
28102017,17:45,Al-Ain ,Al Sharjah,3 : 3,-,-,-
02112017,13:50,Dibba Al Fujairah,Hatta ,2 : 2,-,-,-
02112017,16:45,Al Nasr,Al Wasl,0 : 2,-,-,-
04112017,14:00,Al Dhafra,Ajman,0 : 0,-,-,-
04112017,16:45,Al-Wahda,Al-Ain,0 : 1,-,-,-
03112017,13:55,Al Sharjah,Emirates Club,1 : 0,-,-,-
03112017,16:45,Al-Jazira,Al-Ahli Dubai,0 : 0,-,-,-
17112017,13:40,Hatta,Al Nasr,1 : 5,-,-,-
17112017,13:45,Ajman,Al Sharjah,0 : 1,-,-,-
17112017,16:45,Al Wasl,Al Dhafra,3 : 0,-,-,-
18112017,13:40,Emirates Club,Al-Wahda,1 : 4,-,-,-
18112017,13:45,Al-Ahli Dubai,Dibba Al Fujairah,1 : 1,-,-,-
18112017,16:45,Al-Ain,Al-Jazira,2 : 2,-,-,-
23112017,13:40,Dibba Al Fujairah,Al-Ain,0 : 0,-,-,-
23112017,13:45,Al Wasl,Ajman,2 : 2,-,-,-
23112017,16:45,Al-Wahda,Al Sharjah,3 : 0,-,-,-
30112017,13:40,Al-Ahli Dubai,Al Dhafra,1 : 1,-,-,-
30112017,13:40,Emirates Club,Dibba Al Fujairah,1 : 0,-,-,-
30112017,16:30,Al-Ain,Al Nasr,2 : 1,-,-,-
29112017,13:40,Ajman,Al-Wahda,2 : 2,-,-,-
29112017,13:40,Hatta ,Al Wasl,2 : 2,-,-,-
29112017,16:30,Al Sharjah,Al-Jazira ,1 : 2,-,-,-
07122017,13:40,Al-Jazira,Al-Wahda,-,-,-,-
07122017,13:40,Dibba Al Fujairah,Al Sharjah,1 : 1,2.37,3.20,2.75
07122017,13:50,Al Dhafra,Al-Ain,1 : 2,6.00,5.00,1.36
07122017,16:30,Al Wasl,Al-Ahli Dubai ,3 : 0,2.37,3.60,2.45
06122017,13:45,Ajman,Hatta,1 : 0,1.80,3.79,3.60
06122017,16:30,Al Nasr,Emirates Club,1 : 0,1.39,4.75,6.00
