date,horaire,team_home,team_away,score,cote1,coteN,cote2
17102017,13:00,Maribor -19 ,Liverpool -19,1 : 4,-,-,-
17102017,13:00,Sp. Moscou -19 ,FC Séville -19,1 : 1,-,-,-
17102017,15:00,APOEL -19,Dortmund -19,0 : 2,-,-,-
17102017,15:00,Feyenoord -19,Shakhtar -19,4 : 0,-,-,-
17102017,15:00,RB Leipzig -19,FC Porto -19,0 : 2,-,-,-
17102017,16:00,Manchester City -19,Naples -19,3 : 1,-,-,-
17102017,16:00,Monaco -19,Besiktas -19,3 : 0,-,-,-
17102017,18:00,Real Madrid -19,Tottenham -19,1 : 1,-,-,-
18102017,12:00,Qarabag -19,Atl. Madrid -19,1 : 5,-,-,-
18102017,13:00,CSKA Moscou -19,Bale -19,2 : 3,-,-,-
18102017,14:00,Benfica -19,Manchester Utd -19 ,2 : 2,-,-,-
18102017,14:00,Chelsea -19,AS Rome -19,0 : 2,-,-,-
18102017,16:00,Anderlecht -19,PSG -19,0 : 2,-,-,-
18102017,16:00,Barcelone -19,Olympiakos -19 ,5 : 0,-,-,-
18102017,16:00,Bayern -19,Celtic -19,6 : 2,-,-,-
18102017,16:00,Juventus -19,Sporting -19 ,1 : 4,-,-,-
31102017,15:00,AS Rome -19,Chelsea -19,1 : 2,-,-,-
31102017,15:00,Atl. Madrid -19,Qarabag -19,0 : 1,-,-,-
31102017,15:00,Sporting -19,Juventus -19,2 : 0,-,-,-
31102017,16:00,Bale -19,CSKA Moscou -19 ,4 : 2,-,-,-
31102017,16:00,Manchester Utd -19,Benfica -19,1 : 1,-,-,-
31102017,16:00,PSG -19 ,Anderlecht -19,2 : 3,-,-,-
31102017,17:00,Olympiakos -19,Barcelone -19,0 : 3,-,-,-
31102017,18:00,Celtic -19,Bayern -19,1 : 2,-,-,-
02112017,12:00,Besiktas -19,Monaco -19,3 : 2,-,-,-
02112017,13:00,Shakhtar -19,Feyenoord -19,1 : 1,-,-,-
02112017,13:30,Liverpool -19,Maribor -19,3 : 0,-,-,-
02112017,14:00,FC Séville -19,Sp. Moscou -19,3 : 3,-,-,-
02112017,14:00,Naples -19,Manchester City -19,3 : 5,-,-,-
02112017,15:00,FC Porto -19,RB Leipzig -19,3 : 2,-,-,-
02112017,16:00,Tottenham -19,Real Madrid -19,3 : 2,-,-,-
02112017,18:00,Dortmund -19 ,APOEL -19,5 : 0,-,-,-
