date,horaire,team_home,team_away,score,cote1,coteN,cote2
17102017,14:30,Shkendija -19,Nitra -19 ,1 : 1,-,-,-
17102017,17:30,Soligorsk -19 ,FK Liepaja -19,3 : 0,-,-,-
17102017,18:00,Legia -19 ,Breidablik -19,0 : 0,-,-,-
17102017,18:00,Red Bull Salzbourg -19 ,Bordeaux -19,4 : 0,-,-,-
17102017,19:00,Ajax -19 ,Hammarby -19,2 : 0,-,-,-
18102017,13:00,Din. Kiev -19,Inter -19 ,0 : 3,-,-,-
18102017,14:00,Esbjerg -19 ,KaPa -19,2 : 1,-,-,-
18102017,15:00,Zagreb -19 ,D. Bucarest -19 ,2 : 2,-,-,-
18102017,16:00,Krasnodar -19 ,K. Almaty -19,9 : 0,-,-,-
18102017,17:00,Honved -19 ,Sutjeska -19 ,1 : 0,-,-,-
18102017,17:00,M. Haifa -19,Brodarac -19 ,0 : 1,-,-,-
18102017,17:00,Sparta Prague -19 ,Dudelange -19,3 : 1,-,-,-
18102017,18:00,Saburtalo Tbilisi -19 ,Bursaspor -19,1 : 1,-,-,-
18102017,18:00,Vllaznia -19,Zimbru -19 ,2 : 4,-,-,-
18102017,18:00,Zeljeznicar -19 ,Ludogorets -19,3 : 2,-,-,-
18102017,18:30,Molde -19 ,UC Dublin -19,3 : 1(2 : 1),-,-,-
