date,horaire,team_home,team_away,score,cote1,coteN,cote2
20102017,12:00,Song Lam Nghe An,Hai Phong,2 : 3,-,-,-
22102017,12:00,BHTS Quang Nam,Gia Lai,1 : 1,-,-,-
22102017,12:00,Khanh Hoa,Da Nang,3 : 2,-,-,-
22102017,12:30,Ho Chi Minh,Binh Duong,1 : 1,-,-,-
22102017,12:00,Than Quang Ninh,Thanh Hoa,4 : 3,-,-,-
22102017,12:30,Long An,Sai Gon FC,3 : 3,-,-,-
22102017,13:30,T&T Ha Noi,Can Tho,4 : 0,-,-,-
27102017,12:00,Gia Lai,T&T Ha Noi,3 : 2,-,-,-
28102017,12:00,Khanh Hoa,Song Lam Nghe An,1 : 1,-,-,-
28102017,12:00,Than Quang Ninh,Hai Phong,1 : 0,-,-,-
28102017,12:30,Long An,Thanh Hoa,0 : 2,-,-,-
