date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,16:00,Brackley,Blyth Spartans,3 : 1,-,-,-
22102017,16:00,Chorley,United of Manchester ,1 : 0,-,-,-
22102017,16:00,Curzon Ashton,Boston,2 : 1,-,-,-
22102017,16:00,Darlington,Bradford PA,2 : 1,-,-,-
22102017,16:00,Harrogate,Leamington,2 : 2,-,-,-
22102017,16:00,Kidderminster ,Spennymoor,2 : 2,-,-,-
22102017,16:00,North Ferriby ,Telford,0 : 2,-,-,-
22102017,16:00,Nuneaton ,Stockport,1 : 3,-,-,-
22102017,16:00,Salford,York,3 : 2,-,-,-
22102017,16:00,Southport,Gainsborough,2 : 2,-,-,-
22102017,16:00,Tamworth,Alfreton,2 : 3,-,-,-
24102017,20:45,Gainsborough,Telford ,3 : 2,-,-,-
24102017,20:45,Harrogate,Bradford PA,1 : 1,-,-,-
28102017,14:30,Bradford PA,Salford ,1 : 2,-,-,-
28102017,16:00,Alfreton,Harrogate ,1 : 2,-,-,-
28102017,16:00,Blyth Spartans,Darlington,3 : 1,-,-,-
28102017,16:00,Boston,Brackley,2 : 3,-,-,-
28102017,16:00,Gainsborough,Curzon Ashton,1 : 0,-,-,-
28102017,16:00,Leamington,North Ferriby,3 : 0,-,-,-
28102017,16:00,Spennymoor,Chorley,1 : 0,-,-,-
28102017,16:00,Stockport,Kidderminster,1 : 2,-,-,-
28102017,16:00,Telford,Southport,1 : 1,-,-,-
28102017,16:00,United of Manchester,Nuneaton,2 : 1,-,-,-
28102017,16:00,York ,Tamworth,2 : 3,-,-,-
31102017,20:45,Boston,Salford,0 : 1,-,-,-
31102017,20:45,Chorley,Tamworth,1 : 1,-,-,-
04112017,14:00,Bradford PA,Blyth Spartans,4 : 1,-,-,-
04112017,16:00,Darlington,Brackley,0 : 3,-,-,-
04112017,16:00,Leamington,Boston,0 : 2,-,-,-
04112017,16:00,Nuneaton,Spennymoor,0 : 1,-,-,-
04112017,16:00,Salford,Alfreton,1 : 0,-,-,-
04112017,16:00,Southport,North Ferriby,2 : 2,-,-,-
04112017,16:00,Stockport,United of Manchester,4 : 1,-,-,-
04112017,16:00,York,Curzon Ashton,2 : 1,-,-,-
11112017,16:00,Alfreton ,York,2 : 3,-,-,-
11112017,16:00,Blyth Spartans,Leamington,1 : 0,-,-,-
11112017,16:00,Boston,Stockport,2 : 2,-,-,-
11112017,16:00,Brackley,Gainsborough,2 : 0,-,-,-
11112017,16:00,Chorley,Nuneaton,2 : 2,-,-,-
11112017,16:00,Curzon Ashton,Southport,2 : 2,-,-,-
11112017,16:00,Kidderminster ,Darlington,3 : 3,-,-,-
11112017,16:00,North Ferriby,Bradford PA ,0 : 1,-,-,-
11112017,16:00,Spennymoor,Harrogate,3 : 1,-,-,-
11112017,16:00,Tamworth,Salford,1 : 2,-,-,-
11112017,16:00,United of Manchester,Telford,3 : 1,-,-,-
14112017,20:45,Brackley,Southport,4 : 0,-,-,-
14112017,20:45,United of Manchester,Alfreton,3 : 2,-,-,-
18112017,14:30,Bradford PA,Brackley,2 : 0,-,-,-
18112017,16:00,Darlington,Tamworth,0 : 1,-,-,-
18112017,16:00,Gainsborough,United of Manchester,1 : 0,-,-,-
18112017,16:00,Harrogate,Boston,3 : 1,-,-,-
18112017,16:00,Leamington,Spennymoor,4 : 0,-,-,-
18112017,16:00,Nuneaton,Curzon Ashton,1 : 1,-,-,-
18112017,16:00,Salford,North Ferriby,4 : 0,-,-,-
18112017,16:00,Southport,Blyth Spartans,0 : 3,-,-,-
18112017,16:00,Stockport,Chorley,1 : 1,-,-,-
18112017,16:00,Telford,Alfreton,1 : 2,-,-,-
18112017,16:00,York,Kidderminster,1 : 1,-,-,-
21112017,20:45,Kidderminster,North Ferriby,4 : 0,-,-,-
21112017,20:45,Telford,Tamworth,2 : 0,-,-,-
