date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,16:00,Bath City ,Braintree,1 : 1,-,-,-
22102017,16:00,Bognor,Chippenham Town,1 : 3,-,-,-
22102017,16:00,Chelmsford ,Dartford,1 : 0,-,-,-
22102017,16:00,Concord ,Weston,2 : 2,-,-,-
22102017,16:00,Eastbourne,East Thurrock,2 : 2,-,-,-
22102017,16:00,Gloucester,Welling,0 : 1,-,-,-
22102017,16:00,Havant & W ,Poole Town,2 : 2,-,-,-
22102017,16:00,Hemel Hempstead,Oxford City,2 : 0,-,-,-
22102017,16:00,St. Albans,Hungerford,0 : 0,-,-,-
22102017,16:00,Wealdstone,Truro,2 : 1,-,-,-
22102017,16:00,Whitehawk,Hampton & Richmond,1 : 3,-,-,-
