date,horaire,team_home,team_away,score,cote1,coteN,cote2
22102017,16:00,Aldershot,Tranmere,2 : 1,-,-,-
22102017,16:00,Bromley,Woking ,2 : 0,-,-,-
22102017,16:00,Chester,Boreham Wood,1 : 2,-,-,-
22102017,16:00,Dagenham & Red. ,Wrexham,0 : 1,-,-,-
22102017,16:00,Dover,Maidenhead,1 : 1,-,-,-
22102017,16:00,Eastleigh,Gateshead,3 : 2,-,-,-
22102017,16:00,Ebbsfleet,Barrow,3 : 2,-,-,-
22102017,16:00,Fylde,Maidstone,2 : 1,-,-,-
22102017,16:00,Guiseley,Solihull,4 : 2,-,-,-
22102017,16:00,Halifax,Torquay,1 : 1,-,-,-
22102017,16:00,Hartlepool,Sutton,1 : 1,-,-,-
22102017,16:00,Leyton Orient,Macclesfield,0 : 1,-,-,-
24102017,20:45,Aldershot,Sutton,2 : 2,-,-,-
24102017,20:45,Bromley ,Maidenhead,2 : 3,-,-,-
24102017,20:45,Chester,Barrow,3 : 2,-,-,-
24102017,20:45,Dagenham & Red.,Macclesfield,1 : 0,-,-,-
24102017,20:45,Dover,Woking,3 : 1,-,-,-
24102017,20:45,Eastleigh,Solihull,1 : 2,-,-,-
24102017,20:45,Ebbsfleet,Torquay,0 : 1,-,-,-
24102017,20:45,Fylde,Wrexham,2 : 0,-,-,-
24102017,20:45,Guiseley,Boreham Wood,0 : 0,-,-,-
24102017,20:45,Halifax,Maidstone,0 : 2,-,-,-
24102017,20:45,Hartlepool,Tranmere,1 : 1,-,-,-
24102017,20:45,Leyton Orient,Gateshead,0 : 2,-,-,-
