date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,17:30,HJK,Lahti,3 : 0,1.40,4.50,7.50
16102017,17:30,Inter Turku,HIFK,4 : 1,2.05,3.80,3.20
16102017,17:30,JJK Jyvaskyla,Mariehamn,1 : 0,5.25,4.20,1.57
20102017,17:30,HIFK,SJK,2 : 2,2.30,2.90,2.40
20102017,17:30,Ilves,Kemi,1 : 0,1.32,3.70,5.75
20102017,17:30,Inter Turku,HJK,1 : 3,5.25,3.90,1.32
20102017,17:30,KuPS,JJK Jyvaskyla,2 : 1,1.16,4.70,8.00
20102017,17:30,Rovaniemi,Mariehamn,0 : 3,2.55,2.95,2.15
20102017,17:30,VPS,Lahti ,2 : 1,3.00,2.95,1.90
28102017,13:00,HJK,Rovaniemi,2 : 3,1.08,5.50,10.50
28102017,13:00,JJK Jyvaskyla,VPS,2 : 0,2.90,3.15,1.85
28102017,13:00,Kemi,KuPS,1 : 3,3.25,3.10,1.75
28102017,13:00,Lahti,HIFK,2 : 1,1.70,3.15,3.40
28102017,13:00,Mariehamn,Ilves,0 : 1,2.00,2.80,2.95
28102017,13:00,SJK ,Inter Turku,5 : 0,1.88,3.15,2.85
