date,horaire,team_home,team_away,score,cote1,coteN,cote2
20102017,14:45,Lok. Gorna,Lok. Sofia,1 : 0,-,-,-
20102017,15:00,Litex Lovech,Neftochimic Burgas,2 : 0,-,-,-
20102017,15:00,Strumska Slava,Nesebar,0 : 1,-,-,-
20102017,15:00,Tsarsko Selo,Maritsa Plovdiv,2 : 0,-,-,-
20102017,16:00,Sozopol ,Montana,0 : 5,-,-,-
22102017,15:00,Ludogorets II,Botev Vratsa,4 : 1,-,-,-
22102017,15:00,Botev Galabovo,Oboriste,1 : 2,-,-,-
22102017,15:00,Pomorie,Chernomorets Balchik,1 : 1,-,-,-
28102017,13:45,Lok. Sofia,Tsarsko Selo,0 : 0,-,-,-
28102017,15:00,Botev Vratsa,Strumska Slava,1 : 0,-,-,-
28102017,15:00,Chernomorets Balchik,Litex Lovech,1 : 0,-,-,-
28102017,15:00,Maritsa Plovdiv,Sozopol,1 : 0,-,-,-
28102017,15:00,Montana,Botev Galabovo,3 : 1,-,-,-
28102017,15:00,Neftochimic Burgas,Lok. Gorna,1 : 2,-,-,-
29102017,14:00,Nesebar,Pomorie,0 : 3,-,-,-
30102017,14:00,Oboriste,Ludogorets II,0�:�0,-,-,-
04112017,13:30,Botev Galabovo,Maritsa Plovdiv,1 : 1,-,-,-
04112017,13:30,Botev Vratsa,Oboriste,1 : 0,-,-,-
04112017,13:30,Lok. Gorna,Chernomorets Balchik,3 : 0,-,-,-
04112017,13:30,Strumska Slava,Pomorie,1 : 2,-,-,-
04112017,13:30,Tsarsko Selo,Neftochimic Burgas,5 : 1,-,-,-
04112017,14:30,Sozopol,Lok. Sofia,0 : 0,-,-,-
05112017,12:00,Litex Lovech,Nesebar,1 : 0,-,-,-
03112017,13:30,Ludogorets II,Montana,1 : 0,-,-,-
18112017,13:00,Chernomorets Balchik,Tsarsko Selo,1 : 1,-,-,-
18112017,13:30,Lok. Sofia,Botev Galabovo,1 : 1,-,-,-
18112017,13:30,Neftochimic Burgas,Sozopol,0 : 2,-,-,-
18112017,13:30,Nesebar,Lok. Gorna,4 : 2,-,-,-
18112017,13:30,Oboriste,Strumska Slava,1 : 1,-,-,-
19112017,13:30,Maritsa Plovdiv,Ludogorets II,3 : 3,-,-,-
19112017,13:30,Pomorie,Litex Lovech ,1 : 1,-,-,-
19112017,14:00,Montana,Botev Vratsa ,0 : 1,-,-,-
25112017,12:00,Nesebar,Tsarsko Selo,2 : 3,-,-,-
25112017,13:30,Neftochimic Burgas,Botev Galabovo,0 : 2,-,-,-
24112017,13:30,Chernomorets Balchik,Sozopol,1 : 1,-,-,-
24112017,13:30,Lok. Sofia,Ludogorets II,1 : 0,-,-,-
24112017,13:30,Maritsa Plovdiv,Botev Vratsa,1 : 1,-,-,-
24112017,13:30,Montana,Oboriste,2 : 0,-,-,-
24112017,13:30,Pomorie,Lok. Gorna,2 : 1,-,-,-
24112017,13:30,Strumska Slava,Litex Lovech,1 : 0,-,-,-
30112017,14:00,Montana,Strumska Slava,1 : 1,-,-,-
01122017,12:00,Botev Vratsa ,Lok. Sofia,2 : 2,-,-,-
01122017,13:00,Botev Galabovo,Chernomorets Balchik,3 : 2,-,-,-
01122017,13:00,Lok. Gorna,Litex Lovech,1 : 0,-,-,-
01122017,13:00,Ludogorets II,Neftochimic Burgas,2 : 0,-,-,-
01122017,13:00,Oboriste,Maritsa Plovdiv,1 : 2,-,-,-
01122017,13:00,Tsarsko Selo,Pomorie,2 : 0,-,-,-
01122017,14:00,Sozopol,Nesebar,1 : 2,-,-,-
