date,horaire,team_home,team_away,score,cote1,coteN,cote2
28102017,18:30,Bristol City F,Reading F,0 : 5,-,-,-
28102017,19:00,Sunderland F,Liverpool F,1 : 4,-,-,-
29102017,13:30,Manchester City F,Birmingham F ,3 : 1,-,-,-
29102017,15:00,Chelsea F,Yeovil F,6 : 0,-,-,-
29102017,15:00,Everton F,Arsenal F,0 : 2,-,-,-
11112017,16:00,Yeovil F,Everton F,0 : 2,-,-,-
11112017,18:30,Liverpool F,Birmingham F,1 : 0,-,-,-
12112017,13:35,Reading F,Chelsea F,2 : 2,-,-,-
12112017,15:00,Arsenal F,Sunderland F,3 : 0,-,-,-
12112017,15:00,Manchester City F,Bristol City F,4 : 0,-,-,-
12112017,13:35,Reading F,Chelsea F,2 : 2,-,-,-
12112017,15:00,Arsenal F,Sunderland F,3 : 0,-,-,-
12112017,15:00,Manchester City F,Bristol City F,4 : 0,-,-,-
