date,horaire,team_home,team_away,score,cote1,coteN,cote2
28102017,15:00,London Bees F ,Millwall F,2 : 3,-,-,-
29102017,15:00,Doncaster F,Aston Villa F,6 : 0,-,-,-
29102017,15:00,Oxford Utd F,Brighton F,2 : 2,-,-,-
29102017,15:00,Sheffield F,Durham F,0 : 4,-,-,-
29102017,16:00,Watford F,Tottenham F,1 : 1,-,-,-
12112017,13:00,Durham F,London Bees F,0 : 0,-,-,-
12112017,14:00,Brighton F,Sheffield F,1 : 0,-,-,-
12112017,15:00,Aston Villa F,Watford F,4 : 0,-,-,-
12112017,15:00,Millwall F,Oxford Utd F,1 : 0,-,-,-
12112017,15:00,Tottenham F,Doncaster F,1 : 4,-,-,-
12112017,13:00,Durham F,London Bees F,0 : 0,-,-,-
12112017,14:00,Brighton F,Sheffield F,1 : 0,-,-,-
12112017,15:00,Aston Villa F,Watford F,4 : 0,-,-,-
12112017,15:00,Millwall F,Oxford Utd F,1 : 0,-,-,-
12112017,15:00,Tottenham F,Doncaster F,1 : 4,-,-,-
